source,target,value
Viet Nam,Japan,1906
Afghanistan,Kazakhstan,2250
Palestinian,Kazakhstan,1149
Russian Federation,Kazakhstan,13695
Tajikistan,Kazakhstan,3477
Burundi,Kenya,402
Dem. Rep. of the Congo,Kenya,1134
Eritrea,Kenya,431
Ethiopia,Kenya,11202
Rwanda,Kenya,2509
Somalia,Kenya,155767
Sudan,Kenya,57779
Uganda,Kenya,4432
Afghanistan,Kyrgyzstan,871
Tajikistan,Kyrgyzstan,6828
Palestinian,Kuwait,911
Iraq,Kuwait,419
Somalia,Kuwait,107
Cote d'Ivoire,Liberia,19158
Sierra Leone,Liberia,26482
Palestinian,Libya,1000
Somalia,Libya,650
Iraq,Lebanon,1756
Somalia,Lebanon,136
Sudan,Lebanon,621
Russian Federation,Lithuania,233
Sierra Leone,Mauritania,344
Serbia and Kosovo: S/RES/1244 (1999),North Macedonia,2749
Russian Federation,Rep. of Moldova,154
Colombia,Mexico,114
Guatemala,Mexico,10277
El Salvador,Mexico,1913
Cote d'Ivoire,Mali,617
Mauritania,Mali,6115
Indonesia,Malaysia,144
Myanmar,Malaysia,5247
Angola,Namibia,15636
Bhutan,Nepal,112263
Chad,Niger,141
El Salvador,Nicaragua,314
Chad,Nigeria,194
Liberia,Nigeria,1792
Sierra Leone,Nigeria,1877
Afghanistan,Pakistan,1226569
Colombia,Panama,989
Nicaragua,Panama,170
El Salvador,Panama,271
Cuba,Peru,459
Serbia and Kosovo: S/RES/1244 (1999),Peru,124
Indonesia,Papua New Guinea,4941
Angola,South Africa,1144
Burundi,South Africa,888
Congo,South Africa,216
Dem. Rep. of the Congo,South Africa,3544
Rwanda,South Africa,982
Somalia,South Africa,454
Sudan,South Africa,152
Burundi,Rwanda,1554
Dem. Rep. of the Congo,Rwanda,29281
Afghanistan,Saudi Arabia,109
Iraq,Saudi Arabia,5103
Croatia,Serbia and Kosovo: S/RES/1244 (1999),443
North Macedonia,Serbia and Kosovo: S/RES/1244 (1999),3514
Liberia,Senegal,235
Mauritania,Senegal,19777
Rwanda,Senegal,307
Sierra Leone,Senegal,192
Liberia,Sierra Leone,51367
Ethiopia,Somalia,161
Cambodia,Viet Nam,2081
Eritrea,Sudan,110628
Ethiopia,Sudan,715
Bosnia and Herzegovina,Slovenia,129
Burundi,Eswatini,145
Afghanistan,Switzerland,941
Algeria,Switzerland,117
Bosnia and Herzegovina,Switzerland,5097
Cambodia,Switzerland,646
China,Switzerland,658
Dem. Rep. of the Congo,Switzerland,240
Colombia,Switzerland,174
Ethiopia,Switzerland,160
Iran (Islamic Rep. of),Switzerland,797
Iraq,Switzerland,2160
Lao People's Dem. Rep.,Switzerland,217
Libya,Switzerland,377
Sri Lanka,Switzerland,1171
Pakistan,Switzerland,119
Romania,Switzerland,131
Rwanda,Switzerland,153
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,3359
Somalia,Switzerland,317
Viet Nam,Switzerland,2498
Sudan,Switzerland,118
Syrian Arab Rep.,Switzerland,103
Tunisia,Switzerland,581
Turkey,Switzerland,4963
Afghanistan,Syrian Arab Rep.,428
Iraq,Syrian Arab Rep.,1716
Somalia,Syrian Arab Rep.,402
Sudan,Syrian Arab Rep.,133
Yemen,Syrian Arab Rep.,143
Burundi,United Rep. of Tanzania,540861
Dem. Rep. of the Congo,United Rep. of Tanzania,140301
Rwanda,United Rep. of Tanzania,2717
Somalia,United Rep. of Tanzania,3493
Myanmar,Thailand,112238
Afghanistan,Tajikistan,3427
Afghanistan,Turkmenistan,1263
Azerbaijan,Turkmenistan,146
Tajikistan,Turkmenistan,12272
Ghana,Togo,11208
Rwanda,Togo,791
Afghanistan,Turkey,103
Bosnia and Herzegovina,Turkey,574
Iran (Islamic Rep. of),Turkey,1818
Iraq,Turkey,376
Serbia and Kosovo: S/RES/1244 (1999),Turkey,275
Burundi,Uganda,245
Dem. Rep. of the Congo,Uganda,8536
Kenya,Uganda,133
Rwanda,Uganda,18937
Somalia,Uganda,879
Sudan,Uganda,188194
Afghanistan,Ukraine,1572
Armenia,Ukraine,244
Azerbaijan,Ukraine,232
Congo,Ukraine,120
Georgia,Ukraine,116
Russian Federation,Ukraine,228
Afghanistan,Uzbekistan,2611
Tajikistan,Uzbekistan,39202
Ethiopia,Yemen,946
Palestinian,Yemen,149
Iraq,Yemen,229
Somalia,Yemen,80763
Angola,Zambia,25574
Burundi,Zambia,613
Dem. Rep. of the Congo,Zambia,42739
Rwanda,Zambia,1037
Somalia,Zambia,941
Angola,Zimbabwe,230
Burundi,Zimbabwe,909
Dem. Rep. of the Congo,Zimbabwe,4695
Ethiopia,Zimbabwe,198
Rwanda,Zimbabwe,2901
Sudan,Zimbabwe,105
Western Sahara,Algeria,155430
Dem. Rep. of the Congo,Angola,13015
Rwanda,Angola,120
Ethiopia,Egypt,329
Somalia,Egypt,3068
Sudan,Egypt,14178
Yemen,Egypt,344
Stateless,Egypt,125
Azerbaijan,Armenia,186296
Afghanistan,Azerbaijan,171
Dem. Rep. of the Congo,Burundi,40568
Rwanda,Burundi,397
Burundi,Benin,132
Chad,Benin,466
Congo,Benin,1179
Dem. Rep. of the Congo,Benin,852
Nigeria,Benin,242
Rwanda,Benin,604
Togo,Benin,1221
Myanmar,Bangladesh,19743
Afghanistan,Belarus,459
Croatia,Bosnia and Herzegovina,19477
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,3033
El Salvador,Belize,655
Chad,Central African Rep.,1241
