,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
66508,2020,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,5,0,53,44,102
60803,2020,Honduras,HND,Netherlands,NLD,0,0,5,0,5
59778,2020,Rwanda,RWA,Canada,CAN,170,0,51,0,231
85716,2020,Ethiopia,ETH,Jordan,JOR,5,0,0,0,5
60496,2020,Costa Rica,CRI,Italy,ITA,0,0,5,0,5
12330,2020,Ethiopia,ETH,Greece,GRC,10,0,70,17,97
85589,2020,Liberia,LBR,Algeria,DZA,0,0,0,5,5
60480,2020,Azerbaijan,AZE,Italy,ITA,17,11,16,0,44
12247,2020,Georgia,GEO,France,FRA,30,20,2519,17,2586
12705,2020,Fiji,FJI,United States of America,USA,0,0,5,0,5
60935,2020,Myanmar,MMR,Nauru,NRU,12,0,0,0,12
74121,2020,Djibouti,DJI,Sweden,SWE,0,0,12,0,12
61288,2020,Ukraine,UKR,Slovakia,SVK,0,0,0,5,5
12521,2020,Georgia,GEO,Poland,POL,0,0,40,0,40
66536,2020,Zimbabwe,ZWE,United States of America,USA,27,0,35,23,85
70650,2020,Bahrain,BHR,Germany,DEU,5,0,0,0,5
12110,2020,Kuwait,KWT,Canada,CAN,0,0,5,0,5
61175,2020,Pakistan,PAK,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,5,0,5
85737,2020,Congo,COG,Libya,LBY,0,0,0,5,5
12404,2020,Somalia,SOM,Iceland,ISL,0,0,5,11,16
21612,2020,Iran (Islamic Rep. of),IRN,Austria,AUT,705,17,286,89,1097
59701,2020,Viet Nam,VNM,Cambodia,KHM,0,0,0,15,15
21835,2020,Syrian Arab Rep.,SYR,Philippines,PHL,14,0,0,0,14
74034,2020,United Rep. of Tanzania,TZA,Germany,DEU,0,0,0,5,5
61455,2020,Iran (Islamic Rep. of),IRN,Switzerland,CHE,213,168,407,38,826
59499,2020,Tonga,TON,Australia,AUS,0,0,60,19,79
12310,2020,Zimbabwe,ZWE,France,FRA,0,0,5,0,5
59632,2020,Yemen,YEM,Belarus,BLR,0,5,0,0,5
61259,2020,Uruguay,URY,Spain,ESP,0,0,46,0,46
12363,2020,El Salvador,SLV,Greece,GRC,0,0,5,0,5
61353,2020,Guinea,GIN,Sweden,SWE,5,0,10,5,20
61485,2020,Saudi Arabia,SAU,Switzerland,CHE,5,5,0,0,10
60870,2020,Mali,MLI,Niger,NER,0,0,0,12,12
60066,2020,Mongolia,MNG,France,FRA,11,11,124,10,156
61382,2020,Nigeria,NGA,Sweden,SWE,24,0,203,82,309
75084,2020,Ethiopia,ETH,Niger,NER,15,0,0,0,15
85760,2020,Iraq,IRQ,Lebanon,LBN,5,0,5,1997,2007
60284,2020,Ghana,GHA,Greece,GRC,17,0,116,34,167
61516,2020,Lebanon,LBN,Togo,TGO,5,0,0,19,24
12059,2020,Zambia,ZMB,Australia,AUS,5,0,0,0,5
66433,2020,Djibouti,DJI,United States of America,USA,22,0,11,5,38
12289,2020,Senegal,SEN,France,FRA,96,14,737,5,852
21826,2020,Guatemala,GTM,Philippines,PHL,0,0,0,5,5
60923,2020,Uganda,UGA,Norway,NOR,0,0,5,0,5
85897,2020,Libya,LBY,Tunisia,TUN,26,0,0,0,26
12668,2020,Tajikistan,TJK,Sweden,SWE,0,0,53,5,58
2054,2020,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,99,0,101,42,242
60726,2020,Yemen,YEM,Mexico,MEX,0,0,0,5,5
85809,2020,Libya,LBY,Malaysia,MYS,0,0,0,5,5
60558,2020,Togo,TGO,Italy,ITA,10,37,93,0,140
68451,2020,Guinea-Bissau,GNB,Germany,DEU,0,10,26,61,97
12319,2020,Burkina Faso,BFA,Greece,GRC,0,0,23,5,28
85694,2020,Cameroon,CMR,Indonesia,IDN,0,0,5,0,5
12580,2020,Zambia,ZMB,South Africa,ZAF,21,0,5,0,26
66479,2020,North Macedonia,MKD,United States of America,USA,0,0,10,5,15
66467,2020,Rep. of Korea,KOR,United States of America,USA,0,0,11,29,40
12217,2020,Egypt,EGY,France,FRA,45,0,92,5,142
60525,2020,Mauritania,MRT,Italy,ITA,5,5,5,0,15
59857,2020,Pakistan,PAK,Cyprus,CYP,0,0,553,240,793
12714,2020,Honduras,HND,United States of America,USA,11,0,49,103,163
86658,2021,Cambodia,KHM,Thailand,THA,5,0,0,0,5
63003,2021,Belize,BLZ,Mexico,MEX,15,0,11,0,26
63803,2021,Turkey,TUR,Switzerland,CHE,1964,136,224,94,2418
77564,2021,Ethiopia,ETH,India,IND,0,0,0,5,5
62450,2021,Western Sahara,ESH,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,5
62960,2021,Libya,LBY,Luxembourg,LUX,0,0,5,0,5
62901,2021,Afghanistan,AFG,Kazakhstan,KAZ,0,0,11,0,11
63531,2021,Sri Lanka,LKA,Spain,ESP,0,5,0,0,5
12887,2021,Liberia,LBR,Canada,CAN,5,0,11,0,16
61967,2021,Mauritania,MRT,Canada,CAN,92,0,13,10,115
13242,2021,Libya,LBY,Malta,MLT,0,0,31,10,41
66590,2021,Guinea,GIN,United States of America,USA,42,0,49,18,109
13100,2021,China,CHN,Greece,GRC,0,0,38,5,43
63254,2021,Iraq,IRQ,Norway,NOR,5,0,11,11,27
61632,2021,Peru,PER,Argentina,ARG,5,0,0,5,10
62227,2021,Syrian Arab Rep.,SYR,Finland,FIN,51,21,5,12,89
21980,2021,Stateless,XXA,Cyprus,CYP,10,0,0,0,10
13503,2021,Niger,NER,United States of America,USA,5,0,0,0,5
61631,2021,Paraguay,PRY,Argentina,ARG,10,0,0,0,10
62468,2021,Kazakhstan,KAZ,Georgia,GEO,0,5,13,0,18
62080,2021,India,IND,Cyprus,CYP,0,0,0,64,64
63558,2021,Tunisia,TUN,Spain,ESP,36,0,341,0,377
62471,2021,Morocco,MAR,Georgia,GEO,0,0,0,5,5
63721,2021,Turkey,TUR,Sweden,SWE,282,0,144,29,455
63888,2021,Haiti,HTI,Venezuela (Bolivarian Republic of),VEN,5,0,0,0,5
68564,2021,Russian Federation,RUS,Belarus,BLR,0,0,5,5,10
62343,2021,Zimbabwe,ZWE,France,FRA,5,0,5,0,10
63782,2021,Nepal,NPL,Switzerland,CHE,0,5,0,0,5
16414,2021,Kyrgyzstan,KGZ,United States of America,USA,17,0,5,5,27
74218,2021,Dem. Rep. of the Congo,COD,Germany,DEU,0,0,5,17,22
13102,2021,Congo,COG,Greece,GRC,0,0,23,5,28
13103,2021,Dem. Rep. of the Congo,COD,Greece,GRC,50,22,966,147,1185
77530,2021,Ethiopia,ETH,Egypt,EGY,22,0,1367,0,1389
77582,2021,Liberia,LBR,Mauritania,MRT,0,0,5,0,5
63134,2021,Dem. Rep. of the Congo,COD,Netherlands,NLD,0,0,12,0,12
63106,2021,Angola,AGO,Namibia,NAM,5,0,0,0,5
63689,2021,Liberia,LBR,Sweden,SWE,0,0,0,5,5
21843,2021,Egypt,EGY,Austria,AUT,5,0,551,180,736
74394,2021,Venezuela (Bolivarian Republic of),VEN,Sweden,SWE,0,0,10,0,10
13188,2021,Dem. Rep. of the Congo,COD,Ireland,IRL,21,0,17,5,43
13514,2021,Rwanda,RWA,United States of America,USA,25,0,11,5,41
13279,2021,Nicaragua,NIC,Norway,NOR,5,0,5,0,10
13013,2021,Ethiopia,ETH,France,FRA,159,29,381,38,607
86219,2021,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,68,0,0,23,91
62299,2021,Mali,MLI,France,FRA,478,57,2270,26,2831
61733,2021,India,IND,Belgium,BEL,0,0,10,0,10
74375,2021,Peru,PER,Sweden,SWE,0,0,5,0,5
13351,2021,Brazil,BRA,Sweden,SWE,0,0,10,0,10
13483,2021,Jordan,JOR,United States of America,USA,11,0,5,31,47
63238,2021,Niger,NER,Nigeria,NGA,0,0,0,1430,1430
12957,2021,Cameroon,CMR,Denmark,DNK,0,0,5,0,5
62709,2021,Libya,LBY,Croatia,HRV,0,0,5,0,5
63873,2021,Turkey,TUR,Ukraine,UKR,0,0,0,12,12
12916,2021,El Salvador,SLV,Canada,CAN,17,0,28,10,55
21884,2021,Mali,MLI,Austria,AUT,0,0,5,0,5
62501,2021,Central African Rep.,CAF,Germany,DEU,0,5,0,0,5
62350,2021,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,92,5,84,10,191
85947,2021,Iraq,IRQ,Egypt,EGY,53,0,92,49,194
62522,2021,Guinea-Bissau,GNB,Germany,DEU,0,5,28,25,58
63287,2021,Indonesia,IDN,New Zealand,NZL,0,0,43,24,67
13453,2021,Brazil,BRA,United States of America,USA,0,0,10,92,102
74965,2021,Uzbekistan,UZB,Russian Federation,RUS,36,0,0,20,56
61994,2021,Russian Federation,RUS,Canada,CAN,103,0,23,5,131
63341,2021,Lebanon,LBN,Poland,POL,0,5,5,0,10
62272,2021,Guinea-Bissau,GNB,France,FRA,17,5,100,0,122
13054,2021,Nicaragua,NIC,France,FRA,11,0,5,0,16
62989,2021,Uzbekistan,UZB,Latvia,LVA,0,0,5,0,5
63771,2021,Libya,LBY,Switzerland,CHE,10,13,16,137,176
63337,2021,Iraq,IRQ,Poland,POL,0,0,274,43,317
66614,2021,Lao People's Dem. Rep.,LAO,United States of America,USA,0,0,32,5,37
77575,2021,Pakistan,PAK,Sri Lanka,LKA,0,0,0,11,11
85969,2021,Afghanistan,AFG,China,CHN,14,0,0,0,14
62871,2021,Nigeria,NGA,Italy,ITA,1086,1177,4353,5,6621
13204,2021,Pakistan,PAK,Ireland,IRL,37,5,60,23,125
62981,2021,Iran (Islamic Rep. of),IRN,Latvia,LVA,0,0,5,0,5
62552,2021,Mongolia,MNG,Germany,DEU,0,10,69,12,91
62201,2021,Ethiopia,ETH,Finland,FIN,5,0,11,0,16
63671,2021,France,FRA,Sweden,SWE,0,0,5,0,5
68636,2021,Eritrea,ERI,Germany,DEU,64,218,359,724,1365
61683,2021,Somalia,SOM,Australia,AUS,0,0,5,0,5
62125,2021,Algeria,DZA,Denmark,DNK,0,0,14,0,14
61769,2021,Tajikistan,TJK,Belgium,BEL,0,0,5,0,5
61748,2021,Mongolia,MNG,Belgium,BEL,0,0,5,0,5
63117,2021,Egypt,EGY,Netherlands,NLD,83,32,67,26,208
86088,2021,Pakistan,PAK,Sri Lanka,LKA,31,0,20,12,63
