,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
6764,2011,Peru,PER,Sweden,SWE,0,0,10,0,10
41383,2011,Pakistan,PAK,Norway,NOR,5,5,81,30,121
19050,2011,Iran (Islamic Rep. of),IRN,Austria,AUT,275,11,100,37,423
40764,2011,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,1147,126,1330,215,2818
6723,2011,Djibouti,DJI,Sweden,SWE,0,0,14,0,14
40168,2011,Bangladesh,BGD,Belgium,BEL,0,0,109,17,126
41352,2011,Croatia,HRV,Norway,NOR,0,0,0,5,5
76339,2011,Iraq,IRQ,Lebanon,LBN,5,0,16,0,21
82070,2011,Bangladesh,BGD,Morocco,MAR,0,0,0,5,5
6714,2011,Bulgaria,BGR,Sweden,SWE,0,0,5,0,5
6417,2011,Myanmar,MMR,Cambodia,KHM,0,0,5,0,5
41769,2011,North Macedonia,MKD,Sweden,SWE,0,5,710,307,1022
