,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
9527,2004,India,IND,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11232,2004,Burundi,BDI,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,5,0,0,5
8841,2004,Estonia,EST,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8531,2004,Iraq,IRQ,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10902,2004,North Macedonia,MKD,Switzerland,CHE,0,7,7,31,5,10,60,5,11,10,23,0,22,71
10591,2004,Somalia,SOM,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8709,2004,Kenya,KEN,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8724,2004,Cameroon,CMR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,6,0,0,6
10616,2004,Sudan,SDN,Saudi Arabia,SAU,0,5,0,0,0,0,5,0,0,6,0,0,0,6
9367,2004,Viet Nam,VNM,Gabon,GAB,0,0,0,0,0,0,0,0,0,5,0,0,0,5
10150,2004,Sierra Leone,SLE,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10636,2004,Rwanda,RWA,Senegal,SEN,0,6,5,80,0,0,91,0,6,7,200,0,0,213
8466,2004,Morocco,MAR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9893,2004,Cameroon,CMR,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9025,2004,El Salvador,SLV,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8945,2004,Yemen,YEM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8373,2004,Cambodia,KHM,Argentina,ARG,0,7,0,18,0,0,25,0,0,0,21,5,0,26
8598,2004,Estonia,EST,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8981,2004,Russian Federation,RUS,Chile,CHL,0,0,0,0,0,0,0,0,0,0,6,0,0,6
10771,2004,Chile,CHL,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9095,2004,Bahrain,BHR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8932,2004,Turkmenistan,TKM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8870,2004,Jordan,JOR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10324,2004,Belarus,BLR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8910,2004,Romania,ROU,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9302,2004,Cote d'Ivoire,CIV,France,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9483,2004,Belarus,BLR,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9389,2004,Bosnia and Herzegovina,BIH,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10381,2004,Thailand,THA,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9803,2004,Dem. Rep. of the Congo,COD,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
