year,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,country_origin,country_origin(ISO),region,continent,location,total_deaths,total_affected,geo_locations
2002,Natural,Hydrological,Flood,Riverine flood,Albania,ALB,Southern Europe,Europe,"Lezhe, Kurbin, Mirdite provinces (Lezhe prefecture), Shkoder, Malesi E Madhe, Puke provinces (Shkoder prefecture) (Northern) ; Berat, Kucove, Skrapar provinces (Berat prefecture), Tepelena, Permet, Gjirokastra provinces (Gjirokastra prefecture), Saranda province and Korca province (Southern)",1.0,66884.0,"Berat, Gjirokaster, Korce, Kucove, Kurbin, Lezhe, Malesi E Madhe, Mirdite, Permet, Puke, Sarande, Shkoder, Skrapar, Tepelene (Adm1)."
2002,Natural,Hydrological,Flood,Riverine flood,Argentina,ARG,South America,Americas,"Buenos Aires, Chubut, Entre Rios, Rio Negro, Santa Fe provinces",4.0,6000.0,"Buenos Aires, Chubut, Entre Rios, Rio Negro, Santa Fe (Adm1)."
2002,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",Australia,AUS,Australia and New Zealand,Oceania,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)",2.0,244.0,"Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) (Adm2)."
2002,Natural,Hydrological,Flood,Riverine flood,Austria,AUT,Western Europe,Europe,"Entire Country (Vorarlberg, Upper Austria, Salzburg, Styria)",9.0,60000.0,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2002,Natural,Hydrological,Flood,Flash flood,Bangladesh,BGD,Southern Asia,Asia,"Mymensingh, Netrakona, Sherpur districts (Dhaka province), Sunamganj district (Sylhet province), Rangpur, Nilphamari, Kurigram, Gaibandha districts (Rangpur province), Noakhali, Lakshmipur, Cox's Bazar districts (Chittagong province), Jessore, Satkhira districts (Khulna province), Barguna, Bhola, Barisal, Patuakhali districts (Barisal province), Rajshahi province",10.0,1500000.0,"Rajshahi (Adm1). Barguna, Barisal, Bhola, Cox's Bazar, Gaibandha, Jessore, Kurigram, Lakshmipur, Mymensingh, Netrakona, Nilphamari, Noakhali, Patuakhali, Rangpur, Satkhira, Sherpur, Sunamganj (Adm2)."
2002,Natural,Meteorological,Storm,Tropical cyclone,Bangladesh,BGD,Southern Asia,Asia,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",31.0,100400.0,"Bogra, Gaibandha, Kishoreganj, Kurigram, Lalmonirhat, Netrakona, Nilphamari, Rangpur, Sirajganj (Adm2)."
2002,Natural,Meteorological,Extreme temperature,Cold wave,Bangladesh,BGD,Southern Asia,Asia,"Rajshahi, Rangpur provinces",700.0,50000.0,"Rajshahi, Rangpur (Adm1)."
2002,Natural,Meteorological,Storm,Convective storm,Bolivia (Plurinational State of),BOL,South America,Americas,"Sur Lipez, Nor Lipez, Enrique Baldivieso, Antonio Quijarro districts (Potosi province)",20.0,12085.0,"Antonio Quijarro, Enrique Baldivieso, Nor Lipez, Sur Lipez (Adm2)."
2002,Natural,Climatological,Wildfire,Forest fire,Central African Republic,CAF,Middle Africa,Africa,"Yaloké district (Ombella M'Poko province), Bria district (Haute-Kotto province)",1.0,750.0,"Bria, Yaloké (Adm2)."
2002,Natural,Hydrological,Flood,Riverine flood,Chile,CHL,South America,Americas,"Bio Bio, Maule provinces",2.0,8000.0,"Biobio, Maule (Adm1)."
